GNU vs NODOTS BATCH SIMULATION
===============================
Started: 2025-07-14T23:20:44.951Z
Total Games: 1000
GNU Bot: GNU AI
Nodots Bot: Nodots Heuristic AI
Log Directory: /Users/kenr/Code/nodots-backgammon/core/game-logs/batch-2025-07-14T23-20-44-951Z

Game 186: O | GNU | clockwise > (39 turns, 65/54 moves, 0.01s)
Game 187: X | NODOTS | counterclockwise > (32 turns, 54/55 moves, 0.01s)
Game 188: X | NODOTS | counterclockwise > (29 turns, 44/52 moves, 0.01s)
Game 189: O | GNU | clockwise > (35 turns, 58/53 moves, 0.02s)
Game 190: O | GNU | clockwise > (31 turns, 58/53 moves, 0.01s)
Game 191: O | GNU | clockwise > (40 turns, 65/64 moves, 0.01s)
Game 192: O | GNU | clockwise > (38 turns, 60/59 moves, 0.01s)
Game 193: X | NODOTS | counterclockwise > (25 turns, 40/48 moves, 0.01s)
Game 194: X | NODOTS | counterclockwise > (33 turns, 50/56 moves, 0.01s)
Game 195: O | GNU | clockwise > (39 turns, 66/53 moves, 0.01s)
Game 196: O | GNU | clockwise > (33 turns, 57/50 moves, 0.01s)
Game 197: O | GNU | clockwise > (38 turns, 64/58 moves, 0.01s)
Game 198: O | GNU | clockwise > (40 turns, 62/60 moves, 0.01s)
Game 199: O | GNU | clockwise > (35 turns, 55/51 moves, 0.01s)
Game 200: X | NODOTS | counterclockwise > (27 turns, 43/49 moves, 0.01s)
Game 201: X | NODOTS | counterclockwise > (31 turns, 53/57 moves, 0.01s)
Game 202: X | NODOTS | counterclockwise > (32 turns, 56/56 moves, 0.01s)
Game 203: O | GNU | clockwise > (44 turns, 68/66 moves, 0.01s)
Game 204: X | NODOTS | counterclockwise > (30 turns, 49/51 moves, 0.01s)
Game 205: O | GNU | clockwise > (29 turns, 52/46 moves, 0.01s)
Game 206: X | NODOTS | counterclockwise > (35 turns, 57/55 moves, 0.01s)
Game 207: X | NODOTS | counterclockwise > (36 turns, 60/59 moves, 0.01s)
Game 208: O | GNU | clockwise > (33 turns, 56/54 moves, 0.01s)
Game 209: O | GNU | clockwise > (35 turns, 62/50 moves, 0.01s)
Game 210: O | GNU | clockwise > (53 turns, 80/78 moves, 0.02s)
Game 211: X | NODOTS | counterclockwise > (28 turns, 46/47 moves, 0.01s)
Game 212: O | GNU | clockwise > (40 turns, 61/54 moves, 0.01s)
Game 213: X | NODOTS | counterclockwise > (34 turns, 55/59 moves, 0.01s)
Game 214: O | GNU | clockwise > (33 turns, 54/52 moves, 0.01s)
Game 215: O | GNU | clockwise > (36 turns, 60/58 moves, 0.01s)
Game 216: X | NODOTS | counterclockwise > (28 turns, 42/51 moves, 0.01s)
Game 217: O | GNU | clockwise > (35 turns, 57/57 moves, 0.01s)
Game 218: O | GNU | clockwise > (32 turns, 53/56 moves, 0.01s)
Game 219: O | GNU | clockwise > (37 turns, 66/55 moves, 0.01s)
Game 220: O | GNU | clockwise > (35 turns, 62/51 moves, 0.01s)
Game 221: X | NODOTS | counterclockwise > (35 turns, 55/56 moves, 0.01s)
Game 222: O | GNU | clockwise > (26 turns, 46/43 moves, 0.01s)
Game 223: X | NODOTS | counterclockwise > (35 turns, 53/60 moves, 0.01s)
Game 224: O | GNU | clockwise > (37 turns, 64/54 moves, 0.01s)
Game 225: O | GNU | clockwise > (25 turns, 50/39 moves, 0.01s)
Game 226: O | GNU | clockwise > (36 turns, 60/62 moves, 0.01s)
Game 227: O | GNU | clockwise > (40 turns, 64/59 moves, 0.01s)
Game 228: X | NODOTS | counterclockwise > (33 turns, 50/56 moves, 0.01s)
Game 229: O | GNU | clockwise > (32 turns, 53/52 moves, 0.01s)
Game 230: O | GNU | clockwise > (35 turns, 60/57 moves, 0.01s)
Game 231: O | GNU | clockwise > (35 turns, 61/57 moves, 0.01s)
Game 232: O | GNU | clockwise > (37 turns, 61/59 moves, 0.01s)
Game 233: O | GNU | clockwise > (36 turns, 62/60 moves, 0.01s)
Game 234: O | GNU | clockwise > (36 turns, 57/56 moves, 0.01s)
Game 235: O | GNU | clockwise > (26 turns, 51/46 moves, 0.01s)
Game 236: O | GNU | clockwise > (36 turns, 62/50 moves, 0.01s)
