Game,Winner,Turns,GNU_Moves,Nodots_Moves,Duration_Seconds,Status
172,NODOTS,30,45,54,0.01,completed
173,GNU,31,55,47,0.01,completed
174,GNU,35,61,54,0.01,completed
175,GNU,36,57,55,0.01,completed
176,NODOTS,38,61,65,0.01,completed
177,GNU,32,59,56,0.01,completed
178,GNU,32,57,52,0.01,completed
179,GNU,33,53,56,0.01,completed
180,NODOTS,39,61,63,0.01,completed
181,GNU,38,61,58,0.01,completed
182,GNU,45,72,61,0.01,completed
183,GNU,30,53,51,0.01,completed
184,NODOTS,42,65,70,0.01,completed
185,GNU,32,54,50,0.01,completed
186,NODOTS,31,47,53,0.01,completed
187,NODOTS,46,73,71,0.01,completed
188,GNU,31,53,51,0.01,completed
189,NODOTS,35,55,61,0.01,completed
190,NODOTS,29,48,52,0.01,completed
191,GNU,37,62,62,0.01,completed
192,NODOTS,27,43,51,0.01,completed
193,GNU,31,52,47,0.01,completed
194,NODOTS,38,61,62,0.01,completed
195,GNU,38,63,61,0.01,completed
196,GNU,42,66,63,0.01,completed
197,GNU,41,66,63,0.01,completed
198,GNU,39,63,59,0.01,completed
199,GNU,39,66,60,0.01,completed
200,NODOTS,33,52,56,0.01,completed
201,NODOTS,28,44,51,0.01,completed
202,NODOTS,31,51,56,0.01,completed
203,GNU,47,80,70,0.02,completed
204,NODOTS,35,55,57,0.01,completed
205,GNU,35,58,55,0.01,completed
206,GNU,43,67,72,0.01,completed
207,NODOTS,27,43,47,0.01,completed
208,NODOTS,38,61,64,0.01,completed
209,GNU,46,77,69,0.01,completed
210,NODOTS,37,58,63,0.01,completed
211,GNU,35,58,55,0.01,completed
212,NODOTS,42,67,65,0.01,completed
213,GNU,42,69,68,0.01,completed
214,NODOTS,28,44,53,0.01,completed
215,GNU,33,59,45,0.01,completed
216,GNU,42,68,58,0.01,completed
217,GNU,37,61,51,0.01,completed
218,GNU,29,52,44,0.01,completed
219,GNU,34,59,47,0.01,completed
220,NODOTS,32,50,51,0.01,completed
221,NODOTS,25,38,46,0.01,completed
222,NODOTS,35,55,60,0.01,completed
223,GNU,39,65,58,0.01,completed
224,GNU,44,66,58,0.01,completed
225,GNU,36,59,59,0.01,completed
226,GNU,34,54,53,0.01,completed
227,GNU,35,59,57,0.01,completed
