GNU vs NODOTS BATCH SIMULATION
===============================
Started: 2025-07-14T23:21:42.751Z
Total Games: 1000
GNU Bot: GNU AI
Nodots Bot: Nodots Heuristic AI
Log Directory: /Users/kenr/Code/nodots-backgammon/core/game-logs/batch-2025-07-14T23-21-42-750Z

Game 317: O | GNU | clockwise > (38 turns, 61/59 moves, 0.01s)
Game 318: X | NODOTS | counterclockwise > (36 turns, 62/59 moves, 0.01s)
Game 319: X | NODOTS | counterclockwise > (31 turns, 49/56 moves, 0.01s)
Game 320: O | GNU | clockwise > (34 turns, 55/54 moves, 0.01s)
Game 321: O | GNU | clockwise > (37 turns, 62/56 moves, 0.01s)
Game 322: X | NODOTS | counterclockwise > (29 turns, 48/55 moves, 0.01s)
Game 323: X | NODOTS | counterclockwise > (44 turns, 74/71 moves, 0.01s)
Game 324: O | GNU | clockwise > (33 turns, 54/54 moves, 0.01s)
Game 325: O | GNU | clockwise > (33 turns, 58/48 moves, 0.01s)
Game 326: O | GNU | clockwise > (37 turns, 60/55 moves, 0.01s)
Game 327: X | NODOTS | counterclockwise > (34 turns, 55/55 moves, 0.01s)
Game 328: O | GNU | clockwise > (39 turns, 63/57 moves, 0.01s)
Game 329: X | NODOTS | counterclockwise > (34 turns, 51/56 moves, 0.01s)
Game 330: X | NODOTS | counterclockwise > (35 turns, 55/58 moves, 0.01s)
Game 331: X | NODOTS | counterclockwise > (30 turns, 49/50 moves, 0.01s)
Game 332: O | GNU | clockwise > (35 turns, 62/55 moves, 0.01s)
Game 333: O | GNU | clockwise > (38 turns, 60/61 moves, 0.01s)
Game 334: O | GNU | clockwise > (37 turns, 62/59 moves, 0.01s)
Game 335: O | GNU | clockwise > (33 turns, 56/52 moves, 0.01s)
Game 336: X | NODOTS | counterclockwise > (36 turns, 60/57 moves, 0.01s)
Game 337: O | GNU | clockwise > (38 turns, 61/56 moves, 0.01s)
Game 338: O | GNU | clockwise > (36 turns, 58/62 moves, 0.01s)
Game 339: X | NODOTS | counterclockwise > (44 turns, 70/69 moves, 0.01s)
Game 340: O | GNU | clockwise > (27 turns, 49/47 moves, 0.01s)
Game 341: O | GNU | clockwise > (37 turns, 65/61 moves, 0.01s)
Game 342: O | GNU | clockwise > (32 turns, 57/52 moves, 0.01s)
Game 343: X | NODOTS | counterclockwise > (31 turns, 49/53 moves, 0.01s)
Game 344: O | GNU | clockwise > (30 turns, 48/47 moves, 0.01s)
Game 345: O | GNU | clockwise > (33 turns, 55/54 moves, 0.01s)
